lsNr;Betreiber;Straße;Hausnummer;Adresszusatz;Postleitzahl;Ort;Bundesland;Kreis/kreisfreie Stadt;Breitengrad;Längengrad;Inbetriebnahmedatum;Anschlussleistung;Normalladeeinrichtung;Anzahl Ladepunkte;Steckertypen1;P1 [kW];Public Key1;Steckertypen2;P2 [kW];Public Key2;Steckertypen3;P3 [kW];Public Key3;Steckertypen4;P4 [kW];Public Key4
11;Stadtwerke Ahrensburg GmbH;Manfred Samusch Straße;5;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.673632;10.236555;2019-04-01;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
12;Stadtwerke Ahrensburg GmbH;Am Aalfang;12;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.661368;10.244113;2019-04-01;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
13;Stadtwerke Ahrensburg GmbH;Stormarnstraße;35;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.672432;10.231814;2019-04-01;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
14;Stadtwerke Ahrensburg GmbH;Reeshoop;0;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.680835;10.233862;2021-03-25;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
15;Stadtwerke Ahrensburg GmbH;Hagener Allee;22;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.671347;10.238664;2021-03-25;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
16;Stadtwerke Ahrensburg GmbH;Vogteiweg;0;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.68596;10.239426;2021-03-25;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
17;Stadtwerke Ahrensburg GmbH;Vogteiweg;0;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.68596;10.239426;2021-03-25;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
18;Stadtwerke Ahrensburg GmbH;Lehmannstieg;0;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.673655;10.237822;2021-03-25;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
19;Stadtwerke Ahrensburg GmbH;Bahnhofstraße;0;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.668693;10.23313;2021-03-25;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
20;famila;Carl-Backhaus-Str.;46;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.678859;10.26031;2022-02-28;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
21;famila;Carl-Backhaus-Str.;46;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.6788591;10.2603101;2022-04-13;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;11;;AC Steckdose Typ 2;11;;;;;;;
22;famila;Carl-Backhaus-Str.;46;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.6788591;10.2603101;2022-04-13;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;11;;AC Steckdose Typ 2;11;;;;;;;
23;Stadtwerke Lübeck GmbH;An der Strusbek;4c;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.6873825;10.26624;2021-07-07;150;Schnellladeeinrichtung;3;AC Steckdose Typ 2;22;;DC Kupplung Combo;150;;DC Kupplung Combo;150;;;;
24;Petschallies Volksdorf GmbH;Gänseberg;7;;22926;Ahrensburg;Schleswig-Holstein;Kreis Stormarn;53.677907;10.248928;2021-09-25;39.6;Normalladeeinrichtung;2;DC Kupplung Combo;22;;AC Steckdose Typ 2;11;;;;;;;
25;Stadtwerke Heide GmbH;Kapellenplatz;3;;25767;Albersdorf;Schleswig-Holstein;Kreis Dithmarschen;54.147639;9.28279;2017-12-14;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;11;;AC Steckdose Typ 2;11;;;;;;;
26;E.ON Drive GmbH;Bürgermeister-Golz-Platz;2;;25767;Albersdorf;Schleswig-Holstein;Kreis Dithmarschen;54.14539;9.28354;2018-02-22;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
27;Privatperson;Dörpstraat;30;;25821;Almdorf;Schleswig-Holstein;Kreis Nordfriesland;54.58352;9.01434;2021-09-13;22;Normalladeeinrichtung;2;AC Steckdose Typ 2, AC Kupplung Typ 2;22;;AC Steckdose Typ 2, AC Kupplung Typ 2;22;;;;;;;
28;E.ON Drive GmbH;Hüttener Berge Ost;0;BAB7;24791;Alt Duvenstedt;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;54.364451;9.67189;2017-08-01;93;Schnellladeeinrichtung;2;AC Kupplung Typ 2;43;;DC Kupplung Combo, DC CHAdeMO;50;;;;;;;
29;E.ON Drive GmbH;Hüttener Berge West;0;BAB7;24791;Alt Duvenstedt;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;54.36398;9.669951;2017-08-01;93;Schnellladeeinrichtung;2;AC Kupplung Typ 2;43;;DC Kupplung Combo, DC CHAdeMO;50;;;;;;;
30;Stadtwerke Quickborn GmbH;Am Bahnhof;0;;25486;Alveslohe;Schleswig-Holstein;Kreis Segeberg;53.791189;9.917389;2019-06-26;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
31;Stadtwerke Quickborn GmbH;Am Bahnhof;0;;25486;Alveslohe;Schleswig-Holstein;Kreis Segeberg;53.791189;9.917389;2019-06-26;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
32;Stadtwerke Quickborn GmbH;Am Bahnhof;0;;25486;Alveslohe;Schleswig-Holstein;Kreis Segeberg;53.791189;9.917389;2019-06-26;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
33;E.ON Drive GmbH;Kadener Str.;9;;25486;Alveslohe;Schleswig-Holstein;Kreis Segeberg;53.784739;9.945717;2021-04-08;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
34;HanseWerk Charging Station;Am Gutshof;0;bei 1;22949;Ammersbek;Schleswig-Holstein;Kreis Stormarn;53.691966;10.166185;2022-06-24;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
35;E.ON Drive GmbH;Georg-Sasse-Str.;13;;22949;Ammersbek;Schleswig-Holstein;Kreis Stormarn;53.6781;10.148719;2018-09-18;11;Normalladeeinrichtung;1;AC Steckdose Typ 2;11;;;;;;;;;;
36;E.ON Drive GmbH;Georg-Sasse-Str.;13;;22949;Ammersbek;Schleswig-Holstein;Kreis Stormarn;53.6781;10.148719;2018-09-18;11;Normalladeeinrichtung;1;AC Steckdose Typ 2;11;;;;;;;;;;
37;Amt Hüttener Berge, Gemeinde Ascheffel;Schulberg;2;;24358;Ascheffel;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;54.429446;9.699062;2019-10-14;22;Normalladeeinrichtung;2;AC Steckdose Typ 2, AC Kupplung Typ 2;22;;AC Steckdose Typ 2, AC Kupplung Typ 2;22;;;;;;;
38;GP JOULE Connect GmbH;Am Raiffeisenturm;1;;24613;Aukrug;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;54.082197;9.784952;2020-03-26;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;3 0593 0130 6072 A864 8CE3 D020 1060 82A8 648C E3D0 3010 7034 2000 4F1D 412C 8515 B27C AF99 CB62 B002 549D 2E1B D08F B6D5 9CF8 0E6E 90D2 7E3D EF2A 040E B0D5 94BC DF79 B2FD AEEF 03D9 F9C2 CC46 0924 4B51 DE1F CE6E CAE3 2989 2553 8;AC Steckdose Typ 2;22;3 0593 0130 6072 A864 8CE3 D020 1060 82A8 648C E3D0 3010 7034 2000 4F8A D71C 0502 49A1 2C87 030A 8D5F 1FDC E9BC 3BD7 DF1C 0F8C 0972 A3F1 7989 8742 5F6C 8509 8507 D74F 798D CC29 1746 7EE1 C208 0A89 BC90 9C64 E541 6FD7 659F D148 A;;;;;;
39;ewerk Sachsenwald GmbH;An der Bille;9;;21521;Aumühle;Schleswig-Holstein;Kreis Herzogtum Lauenburg;53.526496;10.304689;2017-07-31;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
40;Stadtwerke Bad Bramstedt GmbH;Bleeck;28;;24576;Bad Bramstedt;Schleswig-Holstein;Kreis Segeberg;53.917084;9.882729;2015-10-29;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
41;Stadtwerke Bad Bramstedt GmbH;König-Christian-Straße;0;;24576;Bad Bramstedt;Schleswig-Holstein;Kreis Segeberg;53.5502;9.53241;2019-09-05;50;Schnellladeeinrichtung;2;DC Kupplung Combo, DC CHAdeMO;50;;AC Steckdose Typ 2;22;;;;;;;
42;EDEKA Dirk Möller e. K.;Hamburger Straße;53;;24576;Bad Bramstedt;Schleswig-Holstein;Kreis Segeberg;53.90757;9.883706;2020-10-14;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;AMX3ZIFIWNSJ7EL2UINZE3UPYKZI6BKYPSKKPBPN;AC Steckdose Typ 2;22;AMKL5SRHZU7X63KXOFBTKRPYFQO5CPW6GQLPVFXB;;;;;;
43;Vereinigte Stadtwerke GmbH;Exer;0;;23843;Bad Oldesloe;Schleswig-Holstein;Kreis Stormarn;53.811428;10.370939;2017-08-18;44;Normalladeeinrichtung;2;AC Steckdose Typ 2, AC Schuko;22;;AC Steckdose Typ 2, AC Schuko;22;;;;;;;
44;Vereinigte Stadtwerke GmbH;Lübecker Straße;46;;23843;Bad Oldesloe;Schleswig-Holstein;Kreis Stormarn;53.811608;10.382751;2017-10-13;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2, AC Schuko;22;;;;;;;
45;Vereinigte Stadtwerke GmbH;Mommsenstraße;13;;23843;Bad Oldesloe;Schleswig-Holstein;Kreis Stormarn;53.806295;10.380794;2018-11-20;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
46;Vereinigte Stadtwerke GmbH;Käthe-Kollwitz-Str.;14;;23843;Bad Oldesloe;Schleswig-Holstein;Kreis Stormarn;53.807286;10.382605;2020-11-11;150;Schnellladeeinrichtung;2;AC Steckdose Typ 2;22;;DC Kupplung Combo, DC CHAdeMO;150;;;;;;;
47;EnBW mobility+ AG und Co.KG;Lily-Braun-Straße;34;;23843;Bad Oldesloe;Schleswig-Holstein;Kreis Stormarn;53.798595;10.404985;2021-03-26;150;Schnellladeeinrichtung;2;DC Kupplung Combo;150;;DC Kupplung Combo;150;;;;;;;
48;MARKANT;Lily-Braun-Straße;24 - 28;;23843;Bad Oldesloe;Schleswig-Holstein;Kreis Stormarn;53.8004;10.4031;2022-06-14;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
49;E.ON Drive GmbH;Rensefelder Straße;2;;23611;Bad Schwartau;Schleswig-Holstein;Kreis Ostholstein;53.919966;10.695921;2018-03-08;22;Normalladeeinrichtung;1;AC Steckdose Typ 2;22;;;;;;;;;;
50;E.ON Drive GmbH;Zentralparkplatz;1;;23611;Bad Schwartau;Schleswig-Holstein;Kreis Ostholstein;53.91838;10.69574;2018-01-16;72;Schnellladeeinrichtung;2;AC Kupplung Typ 2;43;;DC Kupplung Combo, DC CHAdeMO;50;;;;;;;
51;E.ON Drive GmbH;Zentralparkplatz;1;;23611;Bad Schwartau;Schleswig-Holstein;Kreis Ostholstein;53.918375;10.69574;2018-03-08;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
52;E.ON Drive GmbH;Auguststr.;2;;23611;Bad Schwartau;Schleswig-Holstein;Kreis Ostholstein;53.9182;10.69787;2018-03-20;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
53;E.ON Drive GmbH;Zentralparkplatz;1;;23611;Bad Schwartau;Schleswig-Holstein;Kreis Ostholstein;53.91776;10.69634;2022-02-24;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
54;Allego GmbH;Bahnhofstraße;13;;23795;Bad Segeberg;Schleswig-Holstein;Kreis Segeberg;53.934587;10.307248;2018-06-22;93;Schnellladeeinrichtung;2;DC Kupplung Combo, DC CHAdeMO;50;;AC Kupplung Typ 2;43;;;;;;;
55;EnBW mobility+ AG und Co.KG;Rosenstraße;33-35;;23795;Bad Segeberg;Schleswig-Holstein;Kreis Segeberg;48.741558;9.03324;2020-12-16;93;Schnellladeeinrichtung;2;AC Kupplung Typ 2;43;;DC Kupplung Combo, DC CHAdeMO;50;;;;;;;
56;Kreis Segeberg;Hamburgerstraße;30;;23795;Bad Segeberg;Schleswig-Holstein;Kreis Segeberg;53.93615;10.303215;2015-03-12;33;Normalladeeinrichtung;2;AC Steckdose Typ 2, AC Schuko;22;;AC Steckdose Typ 2, AC Schuko;11;;;;;;;
57;E.ON Drive GmbH;Theodor-Storm-Str.;4;;23795;Bad Segeberg;Schleswig-Holstein;Kreis Segeberg;53.933546;10.209471;2016-12-09;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
58;E.ON Drive GmbH;Am Wasserwerk;5;;23795;Bad Segeberg;Schleswig-Holstein;Kreis Segeberg;53.939008;10.286698;2018-06-06;72;Schnellladeeinrichtung;2;AC Kupplung Typ 2;22;;DC Kupplung Combo, DC CHAdeMO;50;;;;;;;
59;Energie und Wasser Wahlstedt/Bad Segeberg GmbH & Co. KG;Jasminstr.;1;;23795;Bad Segeberg;Schleswig-Holstein;Kreis Segeberg;53.925413;10.317385;2018-08-27;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
60;Energie und Wasser Wahlstedt/Bad Segeberg GmbH & Co. KG;Eutinerstr.;20;;23795;Bad Segeberg;Schleswig-Holstein;Kreis Segeberg;53.950075;10.311594;2018-12-15;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
61;Energie und Wasser Wahlstedt/Bad Segeberg GmbH & Co. KG;Kurhausstraße;18;;23795;Bad Segeberg;Schleswig-Holstein;Kreis Segeberg;53.937811;10.306678;2016-06-01;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
62;Energie und Wasser Wahlstedt/Bad Segeberg GmbH & Co. KG;Kurhausstraße;18;;23795;Bad Segeberg;Schleswig-Holstein;Kreis Segeberg;53.937816;10.306599;2019-04-26;100;Schnellladeeinrichtung;2;AC Kupplung Typ 2;43;;DC Kupplung Combo, DC CHAdeMO;50;;;;;;;
63;Energie und Wasser Wahlstedt/Bad Segeberg GmbH & Co. KG;Gieschenhagen;1;;23795;Bad Segeberg;Schleswig-Holstein;Kreis Segeberg;53.933497;10.312102;2016-12-01;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
64;Energie und Wasser Wahlstedt/Bad Segeberg GmbH & Co. KG;Leopardstraße;10;Levo Park;23795;Bad Segeberg;Schleswig-Holstein;Kreis Segeberg;53.934511;10.274708;2020-09-01;100;Schnellladeeinrichtung;2;AC Kupplung Typ 2;43;;DC Kupplung Combo, DC CHAdeMO;50;;;;;;;
65;Energie und Wasser Wahlstedt/Bad Segeberg GmbH & Co. KG;Hamburgerstraße;30;;23795;Bad Segeberg;Schleswig-Holstein;Kreis Segeberg;53.936054;10.303384;2020-09-01;100;Schnellladeeinrichtung;2;AC Kupplung Typ 2;43;;DC Kupplung Combo, DC CHAdeMO;50;;;;;;;
66;Energie und Wasser Wahlstedt/Bad Segeberg GmbH & Co. KG;Ziegelstr.;1;Möbel Kraft;23795;Bad Segeberg;Schleswig-Holstein;Kreis Segeberg;53.9388464;10.29429662;2021-10-04;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
67;Energie und Wasser Wahlstedt/Bad Segeberg GmbH & Co. KG;Ziegelstr.;1;Möbel Kraft;23795;Bad Segeberg;Schleswig-Holstein;Kreis Segeberg;53.9388464;10.29429662;2021-10-04;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
68;Energie und Wasser Wahlstedt/Bad Segeberg GmbH & Co. KG;Ziegelstr.;1;Möbel Kraft;23795;Bad Segeberg;Schleswig-Holstein;Kreis Segeberg;53.9388464;10.29429662;2021-10-04;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
69;Energie und Wasser Wahlstedt/Bad Segeberg GmbH & Co. KG;Ziegelstr.;1;Möbel Kraft;23795;Bad Segeberg;Schleswig-Holstein;Kreis Segeberg;53.9388464;10.29429662;2021-10-04;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
70;Energie und Wasser Wahlstedt/Bad Segeberg GmbH & Co. KG;Burgfeldstraße;41;Kreissporthalle;23795;Bad Segeberg;Schleswig-Holstein;Kreis Segeberg;53.93009;10.303714;2022-04-14;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
71;Energie und Wasser Wahlstedt/Bad Segeberg GmbH & Co. KG;Burgfeldstraße;41;Kreissporthalle;23795;Bad Segeberg;Schleswig-Holstein;Kreis Segeberg;53.93009;10.303714;2022-04-14;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
72;Energie und Wasser Wahlstedt/Bad Segeberg GmbH&Co.KG;Ziegelstraße;1;;23795;Bad Segeberg;Schleswig-Holstein;Kreis Segeberg;53.93842;10.29703;2021-10-11;22;Normalladeeinrichtung;4;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;
73;Vereinigte Stadtwerke GmbH;Am Markt;0;;22941;Bagteheide;Schleswig-Holstein;Kreis Stormarn;53.729371;10.261814;2017-03-31;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
74;Vereinigte Stadtwerke GmbH;Mittelweg;2;;23863;Bargfeld-Stegen;Schleswig-Holstein;Kreis Stormarn;53.767035;10.186499;2020-03-16;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
75;Stadtwerke Nortorf AöR;Am Dorfteich;2;;24793;Bargstedt;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;54.162368;9.769783;2022-04-28;28;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
76;Vereinigte Stadtwerke GmbH;Hamburger Straße;2;;22941;Bargteheide;Schleswig-Holstein;Kreis Stormarn;53.728279;10.259347;2019-10-23;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
77;Vereinigte Stadtwerke GmbH;Am Schulzentrum;1;;22941;Bargteheide;Schleswig-Holstein;Kreis Stormarn;53.726657;10.262249;2019-10-23;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
78;Vereinigte Stadtwerke GmbH;Voßkuhlenweg;10;;22941;Bargteheide;Schleswig-Holstein;Kreis Stormarn;53.731612;10.268684;2019-10-23;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
79;Vereinigte Stadtwerke GmbH;An den Stücken;49;;22941;Bargtheide;Schleswig-Holstein;Kreis Stormarn;53.727023;10.268763;2019-10-23;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
80;Aral Pulse;Bockhorner Landstraße;63a;;23826;Bark O.T. Bockhorn;Schleswig-Holstein;Kreis Segeberg;53.91843734;10.12849867;2021-03-11;300;Schnellladeeinrichtung;2;DC Kupplung Combo, DC CHAdeMO;300;;DC Kupplung Combo;300;;;;;;;
81;Aral Pulse;Bockhorner Landstraße;63a;;23826;Bark O.T. Bockhorn;Schleswig-Holstein;Kreis Segeberg;53.91843734;10.12849867;2021-03-15;300;Schnellladeeinrichtung;2;DC Kupplung Combo, DC CHAdeMO;300;;DC Kupplung Combo;300;;;;;;;
82;Stadtwerke Barmstedt;Erlengrund;29;;25355;Barmstedt;Schleswig-Holstein;Kreis Pinneberg;53.793934;9.763391;2022-06-16;22;Normalladeeinrichtung;2;AC Steckdose Typ 2, AC Kupplung Typ 2;22;;AC Steckdose Typ 2, AC Kupplung Typ 2;22;;;;;;;
83;Stadtwerke Barmstedt;Seestraße;12;;25355;Barmstedt;Schleswig-Holstein;Kreis Pinneberg;53.786165;9.764223;2017-03-21;22;Normalladeeinrichtung;2;AC Steckdose Typ 2, AC Kupplung Typ 2;22;;AC Steckdose Typ 2, AC Kupplung Typ 2;22;;;;;;;
84;Stadtwerke Barmstedt;Küsterkamp;3;;25355;Barmstedt;Schleswig-Holstein;Kreis Pinneberg;53.788047;9.771173;2017-03-21;22;Normalladeeinrichtung;2;AC Steckdose Typ 2, AC Kupplung Typ 2;22;;AC Steckdose Typ 2, AC Kupplung Typ 2;22;;;;;;;
85;Stadtwerke Barmstedt;Weidkamp;11;;25355;Barmstedt;Schleswig-Holstein;Kreis Pinneberg;53.79695;9.774733;2017-03-21;22;Normalladeeinrichtung;2;AC Steckdose Typ 2, AC Kupplung Typ 2;22;;AC Steckdose Typ 2, AC Kupplung Typ 2;22;;;;;;;
86;E.ON Drive GmbH;Mühlenkamp;61;;24217;Barsbek;Schleswig-Holstein;Kreis Plön;54.40387154;10.3210471;2019-10-18;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
87;Allego GmbH;Rahlstedter Straße;2;;22885;Barsbüttel;Schleswig-Holstein;Kreis Stormarn;53.576783;10.1941629;2018-07-12;93;Schnellladeeinrichtung;2;DC Kupplung Combo, DC CHAdeMO;50;;AC Kupplung Typ 2;43;;;;;;;
88;ewerk Sachsenwald GmbH;Hauptstraße;51;;22885;Barsbüttel;Schleswig-Holstein;Kreis Stormarn;53.569148;10.167573;2017-03-29;44;Normalladeeinrichtung;2;AC Steckdose Typ 2, AC Schuko;22;;AC Steckdose Typ 2, AC Schuko;22;;;;;;;
89;ewerk Sachsenwald GmbH;Soltausredder;21;;22885;Barsbüttel;Schleswig-Holstein;Kreis Stormarn;53.572202;10.162541;2019-05-16;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
90;ewerk Sachsenwald GmbH;Hauptstraße;6G;;22885;Barsbüttel;Schleswig-Holstein;Kreis Stormarn;53.569046;10.154817;2019-12-13;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
91;ewerk Sachsenwald GmbH;Achtern Barg;31;;22885;Barsbüttel;Schleswig-Holstein;Kreis Stormarn;53.5724;10.17682;2020-09-14;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
